"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"admin_brand_handoff_tokens","id","bigint"
"admin_brand_handoff_tokens","token_hash","char"
"admin_brand_handoff_tokens","user_id","int"
"admin_brand_handoff_tokens","source_brand_id","int"
"admin_brand_handoff_tokens","target_brand_id","int"
"admin_brand_handoff_tokens","return_path","varchar"
"admin_brand_handoff_tokens","expires_at","datetime"
"admin_brand_handoff_tokens","consumed_at","datetime"
"admin_brand_handoff_tokens","created_at","datetime"
"admin_reporting_snapshots","id","bigint"
"admin_reporting_snapshots","snapshot_key","varchar"
"admin_reporting_snapshots","snapshot_date","date"
"admin_reporting_snapshots","payload","longtext"
"admin_reporting_snapshots","created_at","datetime"
"advertising_campaigns","id","int"
"advertising_campaigns","brand_id","int"
"advertising_campaigns","advertiser_provider_id","int"
"advertising_campaigns","name","varchar"
"advertising_campaigns","objective","enum"
"advertising_campaigns","status","enum"
"advertising_campaigns","headline","varchar"
"advertising_campaigns","body","varchar"
"advertising_campaigns","destination_url","varchar"
"advertising_campaigns","desktop_image_path","varchar"
"advertising_campaigns","mobile_image_path","varchar"
"advertising_campaigns","daily_budget_cents","int"
"advertising_campaigns","total_budget_cents","int"
"advertising_campaigns","billing_model","enum"
"advertising_campaigns","unit_price_cents","int"
"advertising_campaigns","starts_at","datetime"
"advertising_campaigns","ends_at","datetime"
"advertising_campaigns","created_at","datetime"
"advertising_campaigns","updated_at","datetime"
"advertising_campaign_daily_metrics","campaign_id","int"
"advertising_campaign_daily_metrics","metric_date","date"
"advertising_campaign_daily_metrics","impressions","int"
"advertising_campaign_daily_metrics","clicks","int"
"advertising_campaign_daily_metrics","conversions","int"
"advertising_campaign_daily_metrics","spend_cents","int"
"advertising_campaign_daily_metrics","updated_at","datetime"
"advertising_campaign_targets","campaign_id","int"
"advertising_campaign_targets","category_id","int"
"advertising_campaign_targets","state_id","int"
"advertising_campaign_targets","region_id","int"
"advertising_campaign_targets","town_id","int"
"advertising_campaign_targets","placement","varchar"
"advertising_campaign_targets","created_at","datetime"
"ai_intent_cache","id","bigint"
"ai_intent_cache","cache_key","char"
"ai_intent_cache","brand_key","varchar"
"ai_intent_cache","normalised_query","varchar"
"ai_intent_cache","locale","varchar"
"ai_intent_cache","taxonomy_version","varchar"
"ai_intent_cache","rules_version","varchar"
"ai_intent_cache","model_version","varchar"
"ai_intent_cache","intent_json","longtext"
"ai_intent_cache","intent_source","varchar"
"ai_intent_cache","confidence","decimal"
"ai_intent_cache","hit_count","int"
"ai_intent_cache","expires_at","datetime"
"ai_intent_cache","created_at","datetime"
"ai_intent_cache","last_hit_at","datetime"
"ai_settings","id","tinyint"
"ai_settings","ai_enabled","tinyint"
"ai_settings","openai_enabled","tinyint"
"ai_settings","model_allowlist_json","longtext"
"ai_settings","daily_request_cap","int"
"ai_settings","monthly_request_cap","int"
"ai_settings","daily_budget_aud","decimal"
"ai_settings","monthly_budget_aud","decimal"
"ai_settings","soft_warn_pct","tinyint"
"ai_settings","max_prompt_chars","int"
"ai_settings","max_output_tokens","int"
"ai_settings","max_retries","tinyint"
"ai_settings","timeout_seconds","smallint"
"ai_settings","intent_cache_ttl_hours","int"
"ai_settings","updated_at","datetime"
"ai_settings","updated_by","int"
"ai_usage_daily","usage_date","date"
"ai_usage_daily","brand_key","varchar"
"ai_usage_daily","operation_type","varchar"
"ai_usage_daily","requests","int"
"ai_usage_daily","input_tokens","int"
"ai_usage_daily","output_tokens","int"
"ai_usage_daily","estimated_cost_aud","decimal"
"ai_usage_daily","cache_hits","int"
"ai_usage_daily","ai_requests","int"
"ai_usage_daily","rules_only","int"
"ai_usage_daily","failed_requests","int"
"ai_usage_daily","budget_blocked","int"
"ai_usage_daily","updated_at","datetime"
"ai_usage_events","id","bigint"
"ai_usage_events","request_id","varchar"
"ai_usage_events","brand_key","varchar"
"ai_usage_events","operation_type","varchar"
"ai_usage_events","provider","varchar"
"ai_usage_events","model","varchar"
"ai_usage_events","input_tokens","int"
"ai_usage_events","output_tokens","int"
"ai_usage_events","cached","tinyint"
"ai_usage_events","estimated_cost_aud","decimal"
"ai_usage_events","actual_cost_aud","decimal"
"ai_usage_events","duration_ms","int"
"ai_usage_events","success","tinyint"
"ai_usage_events","fallback_reason","varchar"
"ai_usage_events","assist_search_id","bigint"
"ai_usage_events","intent_confidence","decimal"
"ai_usage_events","budget_state","varchar"
"ai_usage_events","created_at","datetime"
"analytics_events","id","bigint"
"analytics_events","brand_id","int"
"analytics_events","event_name","varchar"
"analytics_events","session_id","bigint"
"analytics_events","user_id","int"
"analytics_events","request_id","int"
"analytics_events","provider_id","int"
"analytics_events","category_id","int"
"analytics_events","town_id","int"
"analytics_events","region_id","int"
"analytics_events","search_id","bigint"
"analytics_events","match_id","int"
"analytics_events","outcome_id","bigint"
"analytics_events","previous_stage","varchar"
"analytics_events","route","varchar"
"analytics_events","device_type","enum"
"analytics_events","referral_source","varchar"
"analytics_events","metadata","longtext"
"analytics_events","is_excluded","tinyint"
"analytics_events","created_at","datetime"
"api_access_tokens","id","char"
"api_access_tokens","token_hash","char"
"api_access_tokens","actor_type","enum"
"api_access_tokens","user_id","int"
"api_access_tokens","client_id","char"
"api_access_tokens","scopes_json","longtext"
"api_access_tokens","expires_at","datetime"
"api_access_tokens","revoked_at","datetime"
"api_access_tokens","request_id_created","varchar"
"api_access_tokens","ip_address","varchar"
"api_access_tokens","user_agent","varchar"
"api_access_tokens","created_at","datetime"
"api_drafts","id","char"
"api_drafts","entity_type","enum"
"api_drafts","status","enum"
"api_drafts","payload_json","longtext"
"api_drafts","source_system","varchar"
"api_drafts","source_package_id","varchar"
"api_drafts","checksum","char"
"api_drafts","brand_id","int"
"api_drafts","created_by_user_id","int"
"api_drafts","created_by_client_id","char"
"api_drafts","reviewed_by","int"
"api_drafts","review_note","text"
"api_drafts","live_entity_id","int"
"api_drafts","created_at","datetime"
"api_drafts","updated_at","datetime"
"api_drafts","reviewed_at","datetime"
"api_duplicate_decisions","id","char"
"api_duplicate_decisions","entity_type","varchar"
"api_duplicate_decisions","record_a_id","int"
"api_duplicate_decisions","record_b_id","int"
"api_duplicate_decisions","score","decimal"
"api_duplicate_decisions","classification","varchar"
"api_duplicate_decisions","status","enum"
"api_duplicate_decisions","reasons_json","longtext"
"api_duplicate_decisions","merged_into_id","int"
"api_duplicate_decisions","decided_by","int"
